"weekday","ride_hour","ride_hour_count","member_casual"
"Tuesday","18","48316","member"
"Tuesday","8","42490","member"
"Tuesday","7","37685","member"
"Tuesday","19","34217","member"
"Tuesday","15","32092","member"
"Tuesday","17","29983","casual"
"Tuesday","18","26360","casual"
"Tuesday","12","24983","member"
"Tuesday","13","24218","member"
"Tuesday","16","23482","casual"
"Tuesday","20","23448","member"
"Tuesday","14","23286","member"
"Tuesday","9","22816","member"
"Tuesday","11","20551","member"
"Tuesday","19","20074","casual"
"Tuesday","6","19379","member"
"Tuesday","15","18363","casual"
"Tuesday","21","18034","member"
"Tuesday","10","17424","member"
"Tuesday","14","15378","casual"
"Tuesday","13","14577","casual"
"Tuesday","20","14282","casual"
"Tuesday","12","13997","casual"
"Tuesday","21","12215","casual"
"Tuesday","22","11919","member"
"Tuesday","8","11614","casual"
"Tuesday","11","11312","casual"
"Tuesday","7","9566","casual"
"Tuesday","22","9546","casual"
"Tuesday","10","8969","casual"
"Tuesday","9","8538","casual"
"Tuesday","5","6578","member"
"Tuesday","23","6365","member"
"Tuesday","23","5648","casual"
"Tuesday","6","5096","casual"
"Tuesday","0","3058","casual"
"Tuesday","0","2779","member"
"Tuesday","5","1924","casual"
"Tuesday","1","1663","casual"
"Tuesday","1","1391","member"
"Tuesday","4","1340","member"
"Tuesday","2","1059","casual"
"Tuesday","4","804","casual"
"Tuesday","2","727","member"
"Tuesday","3","722","casual"
"Tuesday","3","590","member"
"Wednesday","17","64296","member"
"Wednesday","18","49671","member"
"Wednesday","16","49297","member"
"Wednesday","8","40810","member"
"Wednesday","7","35332","member"
"Wednesday","19","34693","member"
"Wednesday","17","31776","casual"
"Wednesday","15","31335","member"
"Wednesday","18","28470","casual"
"Wednesday","12","24911","member"
"Wednesday","20","24427","member"
"Wednesday","13","24397","member"
"Wednesday","16","24199","casual"
"Wednesday","14","24187","member"
"Wednesday","9","23195","member"
"Wednesday","19","21643","casual"
"Wednesday","11","20845","member"
"Wednesday","21","18674","member"
"Wednesday","15","18070","casual"
"Wednesday","6","18006","member"
"Wednesday","10","17703","member"
"Wednesday","20","16427","casual"
"Wednesday","14","15069","casual"
"Wednesday","21","14094","casual"
"Wednesday","13","13631","casual"
"Wednesday","22","13417","member"
"Wednesday","12","13274","casual"
"Wednesday","8","11843","casual"
"Wednesday","11","11161","casual"
"Wednesday","22","11137","casual"
"Wednesday","7","9303","casual"
"Wednesday","10","8551","casual"
"Wednesday","9","8431","casual"
"Wednesday","23","7303","member"
"Wednesday","23","6718","casual"
"Wednesday","5","6201","member"
"Wednesday","6","4908","casual"
"Wednesday","0","3125","member"
"Wednesday","0","3108","casual"
"Wednesday","5","1975","casual"
"Wednesday","1","1715","casual"
"Wednesday","1","1466","member"
"Wednesday","4","1175","member"
"Wednesday","2","975","casual"
"Wednesday","2","753","member"
"Wednesday","4","734","casual"
"Wednesday","3","714","casual"
"Wednesday","3","574","member"
